2014-2015,7,US History 2,245
2014-2015,20,Asian Civilization 1,-50
2014-2015,59,War in Anc Meditter World,0
2014-2015,69,Pwr Influenc in Organizn,-16
2014-2015,76,Behav & Organ Concepts,0
2014-2015,81,Motivation and Leadership,170
2014-2015,84,Power and Influence,0
2014-2015,88,Supervised Research,0
2014-2015,92,LeaderCORE Development I,0
2014-2015,95,Black Child in America,15
2014-2015,121,Black Presnc Lat Am Cult,-30
2014-2015,123,Research Methods,0
2014-2015,150,Africa Diaspora:Soc Evol,60
2014-2015,156,Early Mod Europe Core,20
2014-2015,157,Modern Europe Core,0
2014-2015,204,Graduate Research,0
2014-2015,266,Cancer Pharmacol Top 1,0
2014-2015,267,Cancer Pharmacol Top 2,0
2014-2015,269,Cancer Chemotherapy Prin,0
2014-2015,274,Seminar,0
2014-2015,275,Seminar,0
2014-2015,291,Supervised Teaching,0
2014-2015,303,Advanced Virology,0
2014-2015,309,Micro and Immunol Seminar,0
2014-2015,313,Applied Economics,103
2014-2015,318,Economics for Managers,0
2014-2015,319,Global Econ & Bus Firm,0
2014-2015,324,Supervised Research,0
2014-2015,335,Research in Economics,0
2014-2015,339,Public Policy,195
2014-2015,340,Business Law,14
2014-2015,358,Comm'l Law & Corp Gov.,0
2014-2015,363,Supervised Research,0
2014-2015,364,General Mgmt Practicum,-43
2014-2015,378,Applied Business Prgming,59
2014-2015,381,Intro to Mgmt Info Systms,6
2014-2015,382,Telecommunications Techn,0
2014-2015,384,Database Management Syst,-16
2014-2015,385,Systems Anal & Design,0
2014-2015,386,Mgmt of IT Projects,0
2014-2015,391,Information Assurance,0
2014-2015,394,Project & Change Mgmt,0
2014-2015,404,Research-Med,0
2014-2015,414,Research in Organization,10
2014-2015,465,Freshman Experience Sem,-30
2014-2015,467,English Composition,-14
2014-2015,471,Minor Studnt in Higher Ed,-14
2014-2015,480,Academic Success Strategies,-82
2014-2015,481,Social Justice,-28
2014-2015,515,Advanced Reading,-2
2014-2015,560,Project for MA Students,1
2014-2015,561,Departmental Colloquia,0
2014-2015,562,Supervised Teaching,0
2014-2015,563,General Exam Readings,1
2014-2015,570,Advanced Research,-1
2014-2015,579,20c American Research,20
2014-2015,594,Thesis Guidance,31
2014-2015,629,Fpr:Interdisc Specialty,0
2014-2015,634,Adv Adhesive Dentistry,-227
2014-2015,637,Implant Dentistry Seminar,0
2014-2015,640,Independent Study,0
2014-2015,647,Cnt Prsthdntcs Treat. Plan&Lit,0
2014-2015,662,Adv Esthetic Dent Clinic,0
2014-2015,663,Adv Esthetic Lab Tech,0
2014-2015,664,Adv Esthetic Dent Sem/Lec,0
2014-2015,665,Esthetic Patient Seminar,0
2014-2015,666,Research in Esthetic Dent,0
2014-2015,667,Preclin Comp&Remov Prosth,0
2014-2015,668,Preclin Prostho,0
2014-2015,669,Dental Ceramics,0
2014-2015,670,Preclin Complete Dentures,0
2014-2015,671,Rem Partial Dentures,0
2014-2015,672,Hosp Dental Resident Conf,0
2014-2015,673,Periodontal Prosthetics,0
2014-2015,674,Current Prosth. Literature,0
2014-2015,679,Tooth Mold/Denture Stain,0
2014-2015,681,Prosthodontic Clinic,0
2014-2015,682,Supervised Teaching,0
2014-2015,683,Aegd Supervised Teaching,0
2014-2015,685,Independ Study Postgrad,0
2014-2015,686,Prosthodontic Research,0
2014-2015,690,Volleyball,0
2014-2015,693,Introduction to Dance,-60
2014-2015,694,Jogging & Conditioning,0
2014-2015,695,Beginning Tennis,0
2014-2015,698,Intermediate Volleyball,0
2014-2015,700,Fitness & Conditioning,392
2014-2015,703,Non Swimmer,90
2014-2015,704,Adv Beginner Swimming,0
2014-2015,705,Intermediate Swimming,-180
2014-2015,706,Lifeguard Training,84
2014-2015,708,Water Safety Instructor,-19
2014-2015,716,Elem in Arts & Self Def,-20
2014-2015,719,Self Defense for Women,40
2014-2015,722,Basketball,-308
2014-2015,730,Social Dance 1,0
2014-2015,735,Thesis Guidance,0
2014-2015,736,Thesis Guidance,0
2014-2015,741,Research,-3
2014-2015,743,Research,-2
2014-2015,785,Applied Physiology,110
2014-2015,796,Mammalian Physiology,-10
2014-2015,800,Lab Exer in Physiology,0
2014-2015,801,Lab Exer in Physiology,0
2014-2015,802,Neurobiology,0
2014-2015,817,Supervised Teaching,0
2014-2015,834,Neurophysiology Research,0
2014-2015,836,Cell Membrane Phenom Res,0
2014-2015,838,Cardiovasculr Physiol Res,0
2014-2015,842,Renal Physiology Research,0
2014-2015,847,Independent Study,0
